Local time,Open,High,Low,Close,Volume
14.01.2024 06:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
14.01.2024 07:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
14.01.2024 08:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
14.01.2024 09:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
14.01.2024 10:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
14.01.2024 11:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
14.01.2024 12:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
14.01.2024 13:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
14.01.2024 14:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
14.01.2024 15:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
14.01.2024 16:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
14.01.2024 17:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
14.01.2024 18:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
14.01.2024 19:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
14.01.2024 20:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
14.01.2024 21:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
14.01.2024 22:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
14.01.2024 23:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
15.01.2024 00:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
15.01.2024 01:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
15.01.2024 02:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
15.01.2024 03:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
15.01.2024 04:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
15.01.2024 05:00:00.000 GMT+0100,727.579,727.579,727.579,727.579,0
